specimen_id,family,criterion,rmse,fit_succeeded,params
D05,monotone_isotonic,-479.042939556472,2.2662332591841973e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.23031244990050007, 0.2303124499005001, 0.2303124499005001, 0.2303124499005001, 0.2303124499005001, 0.2417746879339206, 0.2417746879339206]}"
D06,linear,-203.41023472266812,0.0029948516971033,True,"{""coeffs"": [2.7686033317834063e-05, 0.2084905350480383]}"
D06,log_time,-198.10947417850676,0.0034699426865348,True,"{""coeffs"": [0.0008479229928840769, 0.20813510274743843]}"
D06,logistic,-200.6016408763819,0.0029880562864426,True,"{""params"": [77.12466048739245, 0.00013227140076696315, 44685.764339651774]}"
D06,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
D06,monotone_isotonic,-479.042939556472,2.4478116858134193e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.21056277640264948, 0.2105627764026495, 0.2105627764026495, 0.22214575259422348, 0.22214575259422348]}"
E01,linear,-162.67017463250153,0.0070757876006362,True,"{""coeffs"": [6.381395045826922e-05, 0.4017150874583716]}"
E01,log_time,-157.72035996473684,0.008184658980489,True,"{""coeffs"": [0.0020103133186019128, 0.4007076919495035]}"
E01,logistic,-159.92678555537313,0.0070571188175902,True,"{""params"": [196.15957117395, 0.0001578616250187259, 39205.15141631195]}"
E01,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
E01,monotone_isotonic,-451.7563858711689,5.2143646990672435e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.4063222795488329, 0.406322279548833, 0.406322279548833, 0.406322279548833, 0.4330490506280732, 0.4330490506280732]}"
E02,linear,-181.5947957976333,0.0054897305239718,True,"{""coeffs"": [5.075004626760703e-05, 0.251956342860732]}"
E02,log_time,-176.29403487392315,0.0063605988574085,True,"{""coeffs"": [0.001554290230970565, 0.2513048155908855]}"
E02,logistic,-178.82836971487916,0.0054708622354259,True,"{""params"": [181.79372125847095, 0.00019968450538335533, 32952.718323176734]}"
E02,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
E02,monotone_isotonic,-479.042939556472,5.233641528945917e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.2557548770681016, 0.276987119726002, 0.276987119726002]}"
E03,linear,-176.59193515798518,0.0063081820242559,True,"{""coeffs"": [5.831625581575131e-05, 0.2898794538732679]}"
E03,log_time,-171.29117419525133,0.0073088861467061,True,"{""coeffs"": [0.0017860158440694417, 0.2891307918771987]}"
E03,logistic,-173.8253519869724,0.0062865281370561,True,"{""params"": [204.25557051675113, 0.00019944613484541027, 32873.05390596815]}"
E03,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
