feature,importance,importance_abs,importance_kind,direction,n_steel_mesh,split_name,repeat_id,fold_id,split_id
peak_rust_pct_mean,0.03157481477075634,0.03157481477075634,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_hsv_s_mean_max,-0.030407783037736023,0.030407783037736023,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_rust_area_ratio_pct_terminal,0.022085098756871785,0.022085098756871785,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
surface_total_rust_pct_terminal,0.022012678811584283,0.022012678811584283,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
surface_total_rust_pct_slope,0.01705169555962117,0.01705169555962117,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_rust_area_ratio_pct_slope,0.017050689734827946,0.017050689734827946,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
visible_corrosion_onset_week,0.016849162517313186,0.016849162517313186,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
weeks_after_onset_at_terminal,-0.016849162517313186,0.016849162517313186,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_strip_rust_max_pct_slope,0.01612538772616077,0.01612538772616077,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_hsv_v_mean_mean,0.01488606945015512,0.01488606945015512,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
surface_total_rust_pct_max,0.010042180899240477,0.010042180899240477,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_rust_area_ratio_pct_max,0.010028190774490514,0.010028190774490514,coefficient,positive,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
peak_rust_pct_max,-0.00681050186979914,0.00681050186979914,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
peak_rust_pct_slope,-0.003015155116329633,0.003015155116329633,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_hsv_s_mean_terminal,-0.001925207863187446,0.001925207863187446,coefficient,negative,4,grouped_cv,0,3,grouped_cv_repeat0_fold3
img_strip_rust_max_pct_mean,0.13435411280209983,0.13435411280209983,coefficient,positive,7,grouped_cv,0,3,grouped_cv_repeat0_fold3
